Day,Artificial Intelligence: (United Kingdom)
01/03/2020,39
02/03/2020,63
03/03/2020,76
04/03/2020,63
05/03/2020,83
06/03/2020,55
07/03/2020,28
08/03/2020,44
09/03/2020,53
10/03/2020,100
11/03/2020,73
12/03/2020,53
13/03/2020,40
14/03/2020,20
15/03/2020,47
16/03/2020,46
17/03/2020,46
18/03/2020,71
19/03/2020,44
20/03/2020,26
21/03/2020,39
22/03/2020,31
23/03/2020,48
24/03/2020,39
25/03/2020,32
26/03/2020,53
27/03/2020,54
28/03/2020,42
29/03/2020,27
30/03/2020,36
31/03/2020,29
01/04/2020,36
02/04/2020,36
03/04/2020,64
04/04/2020,43
05/04/2020,36
06/04/2020,38
07/04/2020,37
08/04/2020,40
09/04/2020,59
10/04/2020,42
11/04/2020,30
12/04/2020,59
13/04/2020,54
14/04/2020,57
15/04/2020,53
16/04/2020,42
17/04/2020,56
18/04/2020,26
19/04/2020,46
20/04/2020,47
21/04/2020,44
22/04/2020,39
23/04/2020,69
24/04/2020,39
25/04/2020,40
26/04/2020,35
27/04/2020,65
28/04/2020,33
29/04/2020,54
30/04/2020,41
01/05/2020,54
02/05/2020,34
03/05/2020,42
04/05/2020,38
05/05/2020,76
06/05/2020,48
07/05/2020,39
08/05/2020,65
09/05/2020,56
10/05/2020,48
11/05/2020,60
12/05/2020,45
13/05/2020,33
14/05/2020,48
15/05/2020,29
16/05/2020,66
17/05/2020,19
18/05/2020,43
19/05/2020,27
20/05/2020,87
21/05/2020,44
22/05/2020,45
23/05/2020,23
24/05/2020,30
25/05/2020,34