Day,Augmented Reality: (United Kingdom)
01/03/2020,36
02/03/2020,33
03/03/2020,56
04/03/2020,34
05/03/2020,50
06/03/2020,39
07/03/2020,18
08/03/2020,32
09/03/2020,43
10/03/2020,29
11/03/2020,19
12/03/2020,32
13/03/2020,23
14/03/2020,41
15/03/2020,16
16/03/2020,22
17/03/2020,18
18/03/2020,29
19/03/2020,22
20/03/2020,22
21/03/2020,20
22/03/2020,24
23/03/2020,16
24/03/2020,28
25/03/2020,42
26/03/2020,54
27/03/2020,57
28/03/2020,34
29/03/2020,100
30/03/2020,71
31/03/2020,41
01/04/2020,72
02/04/2020,51
03/04/2020,53
04/04/2020,52
05/04/2020,41
06/04/2020,44
07/04/2020,18
08/04/2020,14
09/04/2020,25
10/04/2020,34
11/04/2020,31
12/04/2020,23
13/04/2020,26
14/04/2020,28
15/04/2020,36
16/04/2020,21
17/04/2020,28
18/04/2020,41
19/04/2020,23
20/04/2020,41
21/04/2020,35
22/04/2020,53
23/04/2020,10
24/04/2020,35
25/04/2020,23
26/04/2020,23
27/04/2020,31
28/04/2020,40
29/04/2020,17
30/04/2020,28
01/05/2020,24
02/05/2020,22
03/05/2020,11
04/05/2020,54
05/05/2020,35
06/05/2020,45
07/05/2020,10
08/05/2020,19
09/05/2020,17
10/05/2020,11
11/05/2020,40
12/05/2020,31
13/05/2020,40
14/05/2020,44
15/05/2020,28
16/05/2020,15
17/05/2020,31
18/05/2020,31
19/05/2020,34
20/05/2020,27
21/05/2020,37
22/05/2020,24
23/05/2020,22
24/05/2020,23
25/05/2020,20